CountryOrTerritory,Namespace,Network,ResponsibleParty,TimeZone,StationName,EoICode,StationType,StationArea,Pollutant,SamplingPointId,Latitude,Longitude,Altitudee,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,Sample,SamplingProcess,MeasurementEquipment,MeasurementMethod,SamplingEquipment,AnalyticalTechnique,envelope
Italy,IT.ISPRA.AQD,AIR QUALITY MONITORING NETWORK OF CATANIA,Conune di Catania,UTC+01,CT - Parco Gioieni,IT2052A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT2052A_5_BETA_2011-03-25_00:00:00,37.529257000000001,15.081122000000001,135,Continuous data collection,2011-03-24T23:00:00Z,2012-12-30T23:00:00Z,SAM.IT2052A_5_BETA_2011-03-25_00:00:00,SPP.IT2052A_5_BETA_2011-03-25_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,Regione Piemonte,UTC+01,Alba - Tanaro,IT1524A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1524A_5_gravi_2004-01-01_00:00:00,44.703699999999998,8.033300000000001,164,Continuous data collection,2003-12-31T23:00:00Z,,SAM.IT1524A_5_gravi_2004-01-01_00:00:00,SPP.IT1524A_5_gravi_2004-01-01_00:00:00,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,Regione Piemonte,UTC+01,Alessandria - Volta,IT1830A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1830A_5_gravi_2010-09-29_00:00:00,44.920299999999997,8.623200000000001,91,Continuous data collection,2010-09-28T23:00:00Z,,SAM.IT1830A_5_gravi_2010-09-29_00:00:00,SPP.IT1830A_5_gravi_2010-09-29_00:00:00,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,Regione Piemonte,UTC+01,Baceno - Alpe Devero,IT1961A,Background,Rural,Particulate matter < 10 µm (aerosol),SPO.IT1961A_5_BETA_2012-10-05_00:00:00,46.314799999999998,8.2559,1639,Continuous data collection,2012-10-04T23:00:00Z,,SAM.IT1961A_5_BETA_2012-10-05_00:00:00,SPP.IT1961A_5_BETA_2012-10-05_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,Regione Piemonte,UTC+01,Borgosesia - Tonella,IT1532A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1532A_5_gravi_2004-01-01_00:00:00,45.713200000000001,8.2835,344,Continuous data collection,2003-12-31T23:00:00Z,,SAM.IT1532A_5_gravi_2004-01-01_00:00:00,SPP.IT1532A_5_gravi_2004-01-01_00:00:00,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,Regione Piemonte,UTC+01,Torino - Consolata,IT0469A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT0469A_5_gravi_1999-07-01_00:00:00,45.075800000000001,7.6782,243,Continuous data collection,1999-06-30T23:00:00Z,,SAM.IT0469A_5_gravi_1999-07-01_00:00:00,SPP.IT0469A_5_gravi_1999-07-01_00:00:00,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,Regione Piemonte,UTC+01,Torino - Rebaudengo,IT0470A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT0470A_5_BETA_2011-11-16_00:00:00,45.10407,7.69534,233,Continuous data collection,2011-11-15T23:00:00Z,,SAM.IT0470A_5_BETA_2011-11-16_00:00:00,SPP.IT0470A_5_BETA_2011-11-16_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,Regione Piemonte,UTC+01,Verbania - Gabardi,IT1510A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1510A_5_gravi_2004-01-01_00:00:00,45.930300000000003,8.5655,203,Continuous data collection,2003-12-31T23:00:00Z,,SAM.IT1510A_5_gravi_2004-01-01_00:00:00,SPP.IT1510A_5_gravi_2004-01-01_00:00:00,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,MONITORING NETWORK OF REGIONE BASILICATA,ARPAB,UTC+01,POTENZA - VIALE FIRENZE,IT1583A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1583A_5_BETA_2003-05-28_00:00:00,40.649208000000002,15.795197999999999,742,Continuous data collection,2003-05-27T22:00:00Z,,SAM.IT1583A_5_BETA_2003-05-28_00:00:00,SPP.IT1583A_5_BETA_2003-05-28_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,MONITORING NETWORK OF REGIONE BASILICATA,ARPAB,UTC+01,Lavello,IT1897A,Industrial,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1897A_5_BETA_2008-01-01_00:00:00,41.046002999999999,15.787625999999999,319,Continuous data collection,2007-12-31T23:00:00Z,,SAM.IT1897A_5_BETA_2008-01-01_00:00:00,SPP.IT1897A_5_BETA_2008-01-01_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,Regione Piemonte,UTC+01,Dernice - Costa,IT1904A,Background,Rural,Particulate matter < 10 µm (aerosol),SPO.IT1904A_5_gravi_2009-01-02_00:00:00,44.763300000000001,9.0524,620,Continuous data collection,2009-01-01T23:00:00Z,,SAM.IT1904A_5_gravi_2009-01-02_00:00:00,SPP.IT1904A_5_gravi_2009-01-02_00:00:00,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,Regione Piemonte,UTC+01,Leinì (ACEA) - Grande Torino,IT2117A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT2117A_5_BETA_2006-07-31_00:00:00,45.176299999999998,7.7116,246,Continuous data collection,2006-07-30T23:00:00Z,,SAM.IT2117A_5_BETA_2006-07-31_00:00:00,SPP.IT2117A_5_BETA_2006-07-31_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,Regione Piemonte,UTC+01,Saliceto - Moizo,IT1519A,Background,Rural,Particulate matter < 10 µm (aerosol),SPO.IT1519A_5_gravi_2002-01-01_00:00:00,44.412199999999999,8.169499999999999,392,Continuous data collection,2001-12-31T23:00:00Z,,SAM.IT1519A_5_gravi_2002-01-01_00:00:00,SPP.IT1519A_5_gravi_2002-01-01_00:00:00,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,Regione Piemonte,UTC+01,Settimo T. - Vivaldi,IT1130A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1130A_5_gravi_2004-01-01_00:00:00,45.1432,7.7782,202,Continuous data collection,2003-12-31T23:00:00Z,,SAM.IT1130A_5_gravi_2004-01-01_00:00:00,SPP.IT1130A_5_gravi_2004-01-01_00:00:00,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE DI RILEVAMENTO QA DELLA ZONA DI PIANURA,Regione Friuli Venezia Giulia,UTC+01,S.Osvaldo,IT1170A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1170A_5_BETA_2012-04-04_00:00:00,46.035097219999997,13.22529707,100,Continuous data collection,2012-04-03T23:00:00Z,,SAM.IT1170A_5_BETA_2012-04-04_00:00:00,SPP.IT1170A_5_BETA_2012-04-04_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE DI RILEVAMENTO QA DELLA ZONA DI PIANURA,Regione Friuli Venezia Giulia,UTC+01,Monfalcone,IT1538A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1538A_5_BETA_2004-01-01_00:00:00,45.81001045,13.52886105,5,Continuous data collection,2003-12-31T23:00:00Z,2019-03-21T23:00:00Z,SAM.IT1538A_5_BETA_2004-01-01_00:00:00,SPP.IT1538A_5_BETA_2004-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE DI RILEVAMENTO QA DELLA ZONA TRIESTINA,Regione Friuli Venezia Giulia,UTC+01,Basovizza,IT2260A,Background,Rural-Near_city,Particulate matter < 10 µm (aerosol),SPO.IT2260A_5_BETA_2016-04-01_00:00:00,45.647306,13.854972,366,Continuous data collection,2016-03-31T23:00:00Z,,SAM.IT2260A_5_BETA_2016-04-01_00:00:00,SPP.IT2260A_5_BETA_2016-04-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,MONITORING NETWORK OF REGIONE BASILICATA,ARPAB,UTC+01,GRUMENTO 3,IT2202A,Industrial,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT2202A_5_BETA_2013-03-01_00:00:00,40.288390999999997,15.89143,735,Continuous data collection,2013-02-28T23:00:00Z,,SAM.IT2202A_5_BETA_2013-03-01_00:00:00,SPP.IT2202A_5_BETA_2013-03-01_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE REGIONALE QUALITÀ ARIA AMBIENTE,"Regione Marche - Servizio Tutela, Gesrtione e Assetto del Territorio - PF Valutazioni e autorizzazioni ambientali, qualità dell'aria e protezione naturalistica",UTC+01,FALCONARA ALTA,IT0463A,Industrial,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT0463A_5_BETA_2013-05-01_00:00:00,43.620559999999998,13.390000000000001,90,Continuous data collection,2013-04-30T22:00:00Z,,SAM.IT0463A_5_BETA_2013-05-01_00:00:00,SPP.IT0463A_5_BETA_2013-05-01_00:00:00,MetOne BAM-1020,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE REGIONALE QUALITÀ ARIA AMBIENTE,"Regione Marche - Servizio Tutela, Gesrtione e Assetto del Territorio - PF Valutazioni e autorizzazioni ambientali, qualità dell'aria e protezione naturalistica",UTC+01,Ancona Cittadella,IT1827A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1827A_5_gravi_2006-10-01_00:00:00,43.611669999999997,13.508609999999999,100,Continuous data collection,2006-09-30T22:00:00Z,,SAM.IT1827A_5_gravi_2006-10-01_00:00:00,SPP.IT1827A_5_gravi_2006-10-01_00:00:00,MetOne BAM-1020,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE REGIONALE QUALITÀ ARIA AMBIENTE,"Regione Marche - Servizio Tutela, Gesrtione e Assetto del Territorio - PF Valutazioni e autorizzazioni ambientali, qualità dell'aria e protezione naturalistica",UTC+01,Fabriano,IT1694A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1694A_5_BETA_2005-04-01_00:00:00,43.343890000000002,12.90944,325,Continuous data collection,2005-03-31T22:00:00Z,2013-04-30T22:00:00Z,SAM.IT1694A_5_BETA_2005-04-01_00:00:00,SPP.IT1694A_5_BETA_2005-04-01_00:00:00,MetOne BAM-1020,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,SORGENIA,Arpa Puglia,UTC+01,EN03 - VIGILI URBANI,IT2145A,Industrial,Urban,Particulate matter < 10 µm (aerosol),SPO.IT2145A_5_BETA_2017-05-05_00:00:00,41.087220000000002,16.781669999999998,55,Continuous data collection,2017-05-04T23:00:00Z,,SAM.IT2145A_5_BETA_2017-05-05_00:00:00,SPP.IT2145A_5_BETA_2017-05-05_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,REGIONE PUGLIA,Arpa Puglia,UTC+01,TORCHIAROLO,IT1658A,Industrial,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1658A_5_BETA_2005-03-01_00:00:00,40.488059999999997,18.053609999999999,10,Continuous data collection,2005-02-28T23:00:00Z,,SAM.IT1658A_5_BETA_2005-03-01_00:00:00,SPP.IT1658A_5_BETA_2005-03-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,ENPLUS-CTE-S.SEVERO-FG,Arpa Puglia,UTC+01,Posta del Principe,IT2141A,Background,Rural,Particulate matter < 10 µm (aerosol),SPO.IT2141A_5_BETA_2013-01-01_00:00:00,41.630830000000003,15.386670000000001,150,Continuous data collection,2012-12-31T23:00:00Z,,SAM.IT2141A_5_BETA_2013-01-01_00:00:00,SPP.IT2141A_5_BETA_2013-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE REGIONALE DI RILEVAMENTO DELLA QUALITÀ DELL'ARIA DI ARPA SICILIA,ARPA SICILIA,UTC+01,Termini Imerese,IT1889A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1889A_5_BETA_2008-05-01_00:00:00,37.977910999999999,13.687987,101,Continuous data collection,2008-04-30T22:00:00Z,,SAM.IT1889A_5_BETA_2008-05-01_00:00:00,SPP.IT1889A_5_BETA_2008-05-01_00:00:00,Unknown,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PROVINCIA DI BRINDISI,Arpa Puglia,UTC+01,Filzi,IT2018A,Traffic,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT2018A_5_BETA_2010-01-01_00:00:00,40.527500000000003,17.587499999999999,139,Continuous data collection,2009-12-31T23:00:00Z,,SAM.IT2018A_5_BETA_2010-01-01_00:00:00,SPP.IT2018A_5_BETA_2010-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE SIMAGE BRINDISI,Arpa Puglia,UTC+01,brindisi VIA DEI MILLE,IT1701A,Traffic,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1701A_5_BETA_2004-05-01_00:00:00,40.638060000000003,17.938330000000001,10,Continuous data collection,2004-04-30T23:00:00Z,,SAM.IT1701A_5_BETA_2004-05-01_00:00:00,SPP.IT1701A_5_BETA_2004-05-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,COMUNE DI BARI,Arpa Puglia,UTC+01,CUS,IT2058A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT2058A_5_BETA_2013-01-01_00:00:00,41.134700000000002,16.84526,5,Continuous data collection,2012-12-31T23:00:00Z,,SAM.IT2058A_5_BETA_2013-01-01_00:00:00,SPP.IT2058A_5_BETA_2013-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,REGIONE PUGLIA,Arpa Puglia,UTC+01,ARNESANO - Riesci,IT1687A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1687A_5_BETA_2005-03-01_00:00:00,40.346269999999997,18.09507,10,Continuous data collection,2005-02-28T23:00:00Z,,SAM.IT1687A_5_BETA_2005-03-01_00:00:00,SPP.IT1687A_5_BETA_2005-03-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,REGIONE PUGLIA,Arpa Puglia,UTC+01,STATTE,IT1608A,Industrial,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1608A_5_BETA_2017-12-01_00:00:00,40.5625,17.203330000000001,10,Continuous data collection,2017-11-30T23:00:00Z,,SAM.IT1608A_5_BETA_2017-12-01_00:00:00,SPP.IT1608A_5_BETA_2017-12-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,REGIONE PUGLIA,Arpa Puglia,UTC+01,Mesagne,IT1663A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1663A_5_BETA_2009-04-01_00:00:00,40.565559999999998,17.808330000000002,10,Continuous data collection,2009-03-31T23:00:00Z,,SAM.IT1663A_5_BETA_2009-04-01_00:00:00,SPP.IT1663A_5_BETA_2009-04-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
